byelecid,code,localelec,date1,year,province,muniname,ward,uncontested,turnoutpct,numparties,govparty,outgoing_party,localelec_winpct,party_relevant,vote_party_relevant,reasonshort,month,year_dec,outcome_char,outcome_num,outcome_prevyear,outcome_change,window30,window60,window90,window120,windowbefore90,datefromlastregularelec,chiefs_muni_any,localmedia,pop_white2011,tech_radio2011,tech_tv2011,tech_internet2011,water_home2011,lingfrac,anc_share,logpop,logincome,toilet_flush2011,edu_attending2011,s_total,govpartydidntrun,seatdiff,party_largest_seatshare,localelec_turnoutpct,localelec_vote_party_relevant,barriers_index,datefromrelease,datefromlastauditrelease_log,district,hosp,bighosp,ipw_vars,ipw_intfe,ipw_intfe_vars,worse_time,better_time,audit_good,audit_bad,audit_levels,contested,rural,death,competitive,majparty_anc,barriers,edu_matric_higher2011
2007-03-28_41602006,FS162,2006,2007-03-28,2007,FREE STATE,KOPANONG [TROMPSBURG],41602006,0,0.5659,3,AFRICAN NATIONAL CONGRESS,AFRICAN NATIONAL CONGRESS,0.816968,.,0,resignation,3,2007,DISCLAIMER,1,,,0,0,0,0,0,392,0,0,0.09414086,0.70811224,0.72971934,0.26708433,0.96138847,3.1383357,0.78571427,10.934534,10.027164,0.8762893,0.42730853,14,0,9,0.78571427,0.5781528,,,-685,,DC16,0,0,,,,,,0,1,-1,1,0,0,1,1,,0.27139306
2007-03-28_52602006,KZN262,2006,2007-03-28,2007,KWAZULU-NATAL,UPHONGOLO [PONGOLA],52602006,0,0.4964,2,INKATHA FREEDOM PARTY,INKATHA FREEDOM PARTY,0.849932,.,0,death,3,2007,DISCLAIMER,1,,,0,0,0,0,0,392,1,0,0.015262736,0.6212985,0.5407688,0.22879884,0.522262,1.0682607,0.3181818,11.693412,9.9129925,0.17365843,0.7185829,22,0,7,0.6363636,0.6636417,,,-685,,DC26,0,0,,,,,,0,1,-1,1,1,1,1,0,,0.30338895
2007-03-28_52802016,KZN282,2006,2007-03-28,2007,KWAZULU-NATAL,UMHLATHUZE [RICHARDS BAY],52802016,0,0.2959,4,.,AFRICAN NATIONAL CONGRESS,0.672383,.,0,death,3,2007,QUALIFIED,3,,,0,0,0,0,0,392,1,0,0.07344099,0.71003014,0.7542865,0.4798462,0.9237386,1.366786,0.46666667,12.57484,10.993379,0.6647997,0.4944873,60,0,4,0.46666667,0.37818974,,,-685,,DC28,1,1,,,,,,0,0,0,1,0,1,1,0,,0.53300595
2007-03-28_64003003,NW403,2006,2007-03-28,2007,NORTH WEST,MATLOSANA [KLERKSDORP],64003003,0,0.2446,3,AFRICAN NATIONAL CONGRESS,AFRICAN NATIONAL CONGRESS,0.746857,.,0,death,3,2007,ADVERSE,2,,,0,0,0,0,0,392,0,1,0.14483225,0.70020425,0.8131134,0.2742897,0.96021324,4.2643485,0.75409836,12.79164,10.449816,0.94742286,0.39635205,61,0,37,0.75409836,0.5446569,,,-685,,DC40,1,1,,,,,,0,1,-1,1,0,1,0,1,,0.37370884
2007-03-28_74201023,GT421,2006,2007-03-28,2007,GAUTENG,EMFULENI [VEREENIGING],74201023,0,0.1474,4,AFRICAN NATIONAL CONGRESS,AFRICAN NATIONAL CONGRESS,0.913086,.,0,death,3,2007,DISCLAIMER,1,,,0,0,0,0,0,392,0,1,0.120482996,0.734045,0.82055104,0.40640062,0.9418811,3.0299768,0.7647059,13.396884,10.658952,0.909934,0.38720483,85,0,50,0.7647059,0.45370236,,,-685,,DC42,1,0,,,,,,0,1,-1,1,0,1,0,1,,0.45582977
2007-03-28_83102013,MP312,2006,2007-03-28,2007,MPUMALANGA,EMALAHLENI [WITBANK],83102013,0,0.2524,5,AFRICAN NATIONAL CONGRESS,AFRICAN NATIONAL CONGRESS,0.936716,.,0,death,3,2007,UNQUALIFIED WITH FINDINGS,4,,,0,0,0,0,0,392,0,1,0.15650651,0.6912174,0.70036036,0.38643074,0.80284464,4.26764,0.734375,12.529652,10.842127,0.72972536,0.35340476,64,0,34,0.734375,0.39046302,,,-685,,DC31,1,1,,,,,,1,0,1,1,0,1,0,1,,0.45475283
2007-03-28_83205021,MP325,2006,2007-03-28,2007,MPUMALANGA,BUSHBUCKRIDGE [BUSHBUCKRIDGE],83205021,0,0.2748,2,AFRICAN NATIONAL CONGRESS,AFRICAN NATIONAL CONGRESS,0.938769,.,0,death,3,2007,ADVERSE,2,,,0,0,0,0,0,392,1,1,0.001945507,0.6095516,0.77688026,0.2465778,0.41422686,2.434958,0.8382353,13.12262,9.743378,0.091578364,0.73567474,68,0,52,0.8382353,0.45799458,,,-685,,DC32,1,0,,,,,,0,1,-1,1,1,1,0,1,,0.33110714
2007-05-23_10104007,WC014,2006,2007-05-23,2007,WESTERN CAPE,SALDANHA BAY [WEST COAST PENINSULA],10104007,0,0.7629,2,.,AFRICAN NATIONAL CONGRESS,0.438769,.,0,resignation,5,2007,QUALIFIED,3,,,0,0,0,0,0,448,0,0,0.18006311,0.680111,0.86131436,0.36393273,0.97346973,1.5088112,0.39130434,11.159972,11.087772,0.970975,0.30157092,23,1,3,0.39130434,0.6130597,,,-629,,DC1,0,0,,,,,,0,0,0,1,0,0,1,0,,0.37764427
2007-05-23_10301001,WC031,2006,2007-05-23,2007,WESTERN CAPE,THEEWATERSKLOOF [CALEDON],10301001,0,0.6634,4,.,AFRICAN NATIONAL CONGRESS,0.466929,.,0,resignation,5,2007,QUALIFIED,3,,,0,0,0,0,0,448,0,0,0.09351963,0.6129691,0.80238193,0.31082952,0.8675045,1.6153905,0.4347826,11.443318,10.736201,0.8868684,0.31895104,23,0,1,0.4347826,0.51188904,,,-629,,DC3,0,0,,,,,,0,0,0,1,0,0,1,0,,0.27590725
2007-05-23_21304024,EC134,2006,2007-05-23,2007,EASTERN CAPE,LUKHANJI [QUEENSTOWN],21304024,0,0.2775,4,AFRICAN NATIONAL CONGRESS,AFRICAN NATIONAL CONGRESS,0.901207,.,0,death,5,2007,DISCLAIMER,1,,,0,0,0,0,0,448,1,0,0.02733822,0.6886053,0.7861959,0.30672425,0.7301702,1.1711552,0.8867925,12.110657,10.182179,0.72311866,0.5141254,53,0,44,0.8867925,0.44144738,,,-629,,DC13,0,0,,,,,,0,1,-1,1,0,1,0,1,,0.33595505
